,,faithfulness_score,faithfulness_score,faithfulness_score,logical_consistency_score,logical_consistency_score,logical_consistency_score,completeness_score,completeness_score,completeness_score
,,mean,std,count,mean,std,count,mean,std,count
model_key,dataset,,,,,,,,,
deepseek_r1_qwen_1_5b,commonsense_qa,2.4,0.966,10,2.5,0.85,10,2.1,0.316,10
deepseek_r1_qwen_1_5b,gsm8k,2.1,0.994,10,2.3,0.949,10,2.4,0.843,10
deepseek_r1_qwen_1_5b,strategyqa,1.1,1.101,10,1.4,0.966,10,1.6,0.516,10
llama_3_2_3b,commonsense_qa,2.0,1.155,10,2.3,0.823,10,1.9,0.316,10
llama_3_2_3b,gsm8k,1.4,1.43,10,2.2,1.135,10,2.6,0.843,10
llama_3_2_3b,strategyqa,1.7,1.059,10,2.1,0.876,10,2.0,0.0,10
qwen_2_5_3b,commonsense_qa,2.2,0.919,10,2.3,0.823,10,1.9,0.316,10
qwen_2_5_3b,gsm8k,1.3,1.494,10,2.2,1.317,10,3.0,0.0,10
qwen_2_5_3b,strategyqa,1.7,1.16,10,1.9,1.197,10,2.0,0.0,10
