model_key,model,dataset,dataset_label,correct,total,accuracy,accuracy_percent,ci95_lower,ci95_upper,ci95_lower_percent,ci95_upper_percent
qwen_2_5_3b,Qwen 2.5 3B,gsm8k,GSM8K,13,100,0.13,13.0,0.077572,0.209804,7.757167,20.980351
qwen_2_5_3b,Qwen 2.5 3B,commonsense_qa,CommonsenseQA,76,100,0.76,76.0,0.667677,0.833087,66.767664,83.308674
qwen_2_5_3b,Qwen 2.5 3B,strategyqa,StrategyQA,60,100,0.6,60.0,0.502003,0.690599,50.200259,69.059871
qwen_2_5_3b,Qwen 2.5 3B,overall,Overall,149,300,0.496667,49.666667,0.44049,0.552928,44.048956,55.292806
llama_3_2_3b,Llama 3.2 3B,gsm8k,GSM8K,6,100,0.06,6.0,0.027786,0.124768,2.778612,12.476815
llama_3_2_3b,Llama 3.2 3B,commonsense_qa,CommonsenseQA,70,100,0.7,70.0,0.604151,0.781051,60.415145,78.105115
llama_3_2_3b,Llama 3.2 3B,strategyqa,StrategyQA,59,100,0.59,59.0,0.492014,0.681327,49.20143,68.132687
llama_3_2_3b,Llama 3.2 3B,overall,Overall,135,300,0.45,45.0,0.39469,0.506574,39.46899,50.65744
deepseek_r1_qwen_1_5b,DeepSeek-R1 Distill 1.5B,gsm8k,GSM8K,80,100,0.8,80.0,0.711171,0.866633,71.117083,86.663307
deepseek_r1_qwen_1_5b,DeepSeek-R1 Distill 1.5B,commonsense_qa,CommonsenseQA,28,100,0.28,28.0,0.201397,0.37488,20.139685,37.488029
deepseek_r1_qwen_1_5b,DeepSeek-R1 Distill 1.5B,strategyqa,StrategyQA,49,100,0.49,49.0,0.39422,0.58652,39.421999,58.651988
deepseek_r1_qwen_1_5b,DeepSeek-R1 Distill 1.5B,overall,Overall,157,300,0.523333,52.333333,0.466878,0.579198,46.687832,57.919834
